nombre,id,mazo,sueldo,precio,pase,tiro,centrarIzq,centrarDcha,defensaIzq,defensaDcha,entradas,habArriba,habIzquierda,habDerecha,habAbajo,PORTERO,LATERAL_IZQUIERDO,DEFENSA_IZQUIERDO,DEFENSA_DERECHO,LATERAL_DERECHO,EXTREMO_IZQUIERDO,CENTRO_IZQUIERDO,CENTRO_DERECHO,EXTREMO_DERECHO,DELANTERO_IZQUIERDO,DELANTERO_DERECHO,POS1,POS2,POS3,POS4,POS5,POS6,POS7
91,91,INICIAL,-1,2,-99,-99,-99,-99,-99,-99,1,NONE,NONE,NONE,NONE,1,0,0,0,0,0,0,0,0,0,0,PORTERO,BREAK,,,,,
92,92,INICIAL,-1,2,-99,-99,1,1,1,1,0,NONE,NONE,NONE,NONE,0,1,0,0,1,0,0,0,0,0,0,LATERAL_IZQUIERDO,LATERAL_DERECHO,BREAK,,,,
93,93,INICIAL,-1,2,1,-99,-99,-99,-99,-99,1,NONE,NONE,NONE,NONE,0,0,1,1,0,0,0,0,0,0,0,DEFENSA_IZQUIERDO,DEFENSA_DERECHO,BREAK,,,,
94,94,INICIAL,-1,2,-99,-99,1,1,1,1,-99,NONE,NONE,NONE,NONE,0,0,0,0,0,1,0,0,1,0,0,EXTREMO_IZQUIERDO,EXTREMO_DERECHO,BREAK,,,,
95,95,INICIAL,-1,2,1,-99,-99,-99,-99,-99,1,NONE,NONE,NONE,NONE,0,0,0,0,0,0,1,1,0,0,0,CENTRO_IZQUIERDO,CENTRO_DERECHO,BREAK,,,,
96,96,INICIAL,-1,2,-99,1,-99,-99,-99,-99,-99,NONE,NONE,NONE,NONE,0,0,0,0,0,0,0,0,0,1,1,DELANTERO_IZQUIERDO,DELANTERO_DERECHO,BREAK,,,,
Andres Lozano,98,MAZO1,0,3,0,0,0,0,0,0,0,EQUIPO,NONE,NONE,EQUIPO,0,0,0,0,0,1,1,1,1,0,0,EXTREMO_IZQUIERDO,CENTRO_IZQUIERDO,CENTRO_DERECHO,EXTREMO_DERECHO,BREAK,,
Lemachinga,18,MAZO1,-1,4,1,0,-99,-99,-99,-99,1,TIRO,NONE,CENTRO,NONE,0,0,0,0,0,0,1,1,0,1,1,DELANTERO_IZQUIERDO,DELANTERO_DERECHO,CENTRO_IZQUIERDO,CENTRO_DERECHO,BREAK,,
Ukic,44,MAZO1,-1,3,1,-99,2,-99,1,-99,1,PASE,NONE,NONE,NONE,0,0,0,0,0,1,1,1,0,0,0,EXTREMO_IZQUIERDO,CENTRO_IZQUIERDO,CENTRO_DERECHO,BREAK,,,
Jon,26,MAZO1,-1,3,-99,-99,-99,-99,-99,-99,2,NONE,NONE,NONE,NONE,1,0,0,0,0,0,0,0,0,0,0,PORTERO,BREAK,,,,,
Geletao,69,MAZO1,-1,3,-99,2,-99,-99,-99,-99,-99,NONE,NONE,NONE,PASE,0,0,0,0,0,0,0,0,0,1,1,DELANTERO_IZQUIERDO,DELANTERO_DERECHO,BREAK,,,,
Eros,8,MAZO1,-1,4,2,-99,2,-99,1,-99,0,NONE,NONE,CENTRO,NONE,0,0,0,0,0,1,1,1,0,0,0,EXTREMO_IZQUIERDO,CENTRO_IZQUIERDO,CENTRO_DERECHO,BREAK,,,
Miguelon,4,MAZO1,-1,6,1,-99,1,1,2,2,1,PASE,NONE,NONE,ENTRADAS,0,1,1,1,1,0,0,0,0,0,0,LATERAL_IZQUIERDO,DEFENSA_IZQUIERDO,DEFENSA_DERECHO,LATERAL_DERECHO,BREAK,,
Dany,5,MAZO1,-1,3,1,-99,-99,-99,-99,-99,1,EQUIPO,NONE,EQUIPO,NONE,0,0,1,1,0,0,0,0,0,0,0,DEFENSA_IZQUIERDO,DEFENSA_DERECHO,BREAK,,,,
Donkijote,46,MAZO1,-1,3,-99,2,-99,-99,-99,-99,-99,NONE,NONE,NONE,EQUIPO,0,0,0,0,0,0,0,0,0,1,1,DELANTERO_IZQUIERDO,DELANTERO_DERECHO,BREAK,,,,
Doc Junior,99,MAZO1,0,3,-99,0,-99,-99,-99,-99,-99,NONE,EQUIPO,EQUIPO,EQUIPO,0,0,0,0,0,0,0,0,0,1,1,DELANTERO_IZQUIERDO,DELANTERO_DERECHO,BREAK,,,,
Albertotower,12,MAZO1,-1,4,2,-99,-99,-99,-99,-99,1,NONE,EQUIPO,NONE,ENTRADAS,0,0,1,1,0,0,1,1,0,0,0,CENTRO_IZQUIERDO,CENTRO_DERECHO,DEFENSA_IZQUIERDO,DEFENSA_DERECHO,BREAK,,
Stephane,25,MAZO1,-1,4,-99,-99,-99,-99,-99,-99,3,NONE,NONE,NONE,NONE,1,0,0,0,0,0,0,0,0,0,0,PORTERO,BREAK,,,,,
Diamont,43,MAZO1,-1,3,-99,-99,-99,2,-99,1,-99,PASE,NONE,NONE,NONE,0,0,0,0,1,0,0,0,1,0,0,EXTREMO_DERECHO,LATERAL_DERECHO,BREAK,,,,
Javier Lozano,32,MAZO1,-1,2,1,-99,-99,-99,-99,-99,1,NONE,EQUIPO,NONE,EQUIPO,0,0,0,0,0,0,1,1,0,0,0,CENTRO_IZQUIERDO,CENTRO_DERECHO,BREAK,,,,
Fuch,20,MAZO1,-1,4,-99,-99,1,2,1,3,-99,EQUIPO,ENTRADAS,NONE,NONE,0,1,0,0,1,0,0,0,0,0,0,LATERAL_IZQUIERDO,LATERAL_DERECHO,BREAK,,,,
Sancho,27,MAZO1,-1,4,1,-99,-99,1,-99,1,1,NONE,NONE,ENTRADAS,ENTRADAS,0,0,1,1,1,0,0,0,0,0,0,DEFENSA_IZQUIERDO,DEFENSA_DERECHO,LATERAL_DERECHO,BREAK,,,
